D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_10_738.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_10_738.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_10_738.jpg, 0, 0, 0, 7.836177E-05
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_10_841.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_10_841.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_10_841.jpg, 0, 0, 0, 8.136996E-05
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_10_943.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_10_943.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_10_943.jpg, 0, 0, 0, 7.83103E-05
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_047.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_047.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_047.jpg, 0, 0, 0, 7.929507E-05
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_149.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_149.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_149.jpg, 0, 0, 0, 7.879196E-05
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_250.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_250.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_250.jpg, 0, 0, 0, 7.775857E-05
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_350.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_350.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_350.jpg, 0, 0, 0, 8.05368E-05
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_453.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_453.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_453.jpg, 0, 0, 0, 8.198372E-05
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_555.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_555.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_555.jpg, 0, 0.0552654, 0, 0.01736733
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_654.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_654.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_654.jpg, 0, 0.3604497, 0, 0.3469604
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_756.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_756.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_756.jpg, 0, 0.6615282, 0, 0.9081998
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_859.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_859.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_859.jpg, -0.1291191, 0.9544476, 0, 1.965156
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_11_959.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_11_959.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_11_959.jpg, -0.4246497, 1, 0, 3.120511
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_060.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_060.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_060.jpg, -0.4483887, 1, 0, 4.274861
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_162.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_162.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_162.jpg, -0.204474, 1, 0, 5.439887
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_265.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_265.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_265.jpg, -0.3467613, 1, 0, 6.575062
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_368.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_368.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_368.jpg, 0, 1, 0, 7.9389
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_471.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_471.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_471.jpg, 0, 1, 0, 9.064818
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_576.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_576.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_576.jpg, -0.1045365, 1, 0, 10.17915
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_677.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_677.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_677.jpg, -0.1816671, 1, 0, 11.25981
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_779.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_779.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_779.jpg, 0, 1, 0, 12.43997
D:\SOFTWARES\Udacity\IMG\center_2022_10_01_19_21_12_879.jpg, D:\SOFTWARES\Udacity\IMG\left_2022_10_01_19_21_12_879.jpg, D:\SOFTWARES\Udacity\IMG\right_2022_10_01_19_21_12_879.jpg, -0.1792974, 1, 0, 13.30042
